,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmoonn,L_cmoonn,Lcmonno,an_oool
112,1.0003604979992742e-05,2.2653518183173422,0.26332179796371274,0.9210997008087596,1.0011558536209475,-4.999999870842922,699.0,37.0,0.36111540551039084,0.9898181128191199,1.958556549957892e-08,0.25881699582045153
123,0.12014445040324451,1.6697799452550173,0.2970936243400761,0.3848261315468049,1.7607515384734518,-1.7459983793163922,699.0,37.0,0.3406612234093493,0.4883999269845584,0.04061518519236977,0.34066121189264936
130,0.7396798724374919,1.7185723586990305,0.09683774300136276,0.6431941713511146,3.466899028535891,-2.9423233727795206,699.0,37.0,0.2933096375741953,0.7282729774937576,0.2135546603784273,0.28976434801586004
131,0.4230774214833621,2.0887576843862385,0.0001000000177771239,0.9899999942906142,1.0,-3.002595640967919,699.0,37.0,0.9899999999865262,0.99,3.4410736598131715e-11,0.37345679122549763
132,0.7620302970359542,1.9268783551669275,0.9256417673110843,0.7164677893644137,1.0000000000189118,-4.910123874457185,699.0,37.0,0.87267560272456,0.9899999999971998,1.531854036118585e-12,0.2630735946171485
141,0.1791378470594776,1.2310997914028041,0.22977846383960573,0.471867625031878,2.2067221047189607,-1.7148166376205318,699.0,37.0,0.5334034967068556,0.8216745853702753,0.2406644484897857,0.49999999999925926
143,0.5400191030385961,1.2663029994425348,0.07534828180885941,0.33359973568708895,2.26022006665619,-4.2674356743983255,699.0,37.0,0.5000123243248523,0.9701044633029375,0.45920151426002354,0.49999999999251665
151,1.0016069173986364e-05,1.5915595726163565,0.2626168808050138,0.9745323421434199,1.0000000005797904,-3.6843217928433742,699.0,37.0,0.5120667339142538,0.9899999999253634,0.12487193787607807,0.49999999998678746
155,0.38676674304612796,1.6186735183352254,0.22655560042104547,0.966082213264299,1.000000002456309,-3.2684381098780393,699.0,37.0,0.5001179942790793,0.9899999982087081,0.7772725610673699,0.4999999999867296
159,1.0000000025156552e-05,1.4008614679196365,0.00010000000001675335,0.9899999999770175,1.0000000000001374,-4.999999999999754,699.0,37.0,0.9899486688398889,0.9899999999999344,9.769962615724381e-15,0.49999999999999
166,0.210846851439416,1.2234878291933216,0.00010000000391112776,0.9899999999819389,1.0,-4.477826305566934,699.0,37.0,0.99,0.99,0.45450596883422373,0.5
167,0.038480458112460494,1.3202534237944028,0.00010459825022955298,0.10919076235788135,1.0000078293250403,-4.999963325561544,699.0,37.0,0.1384862575343756,0.9899978762767221,4.3104827285069956e-05,1.3086767658825179e-06
172,0.3143506613801702,1.7433696639170726,0.00010000000000073839,0.5280459471374512,1.0000000000000129,-4.9999999999999325,699.0,37.0,0.3955971133735474,0.9899999999999998,7.452372052796369e-24,0.32200445277728706
179,0.31508620927722203,1.364630971611058,0.5580530624199167,0.99,1.0,-5.0,699.0,37.0,0.99,0.99,0.308412008220071,0.4869579640507855
184,0.17302185034324627,1.325842747211439,0.00010000000000013053,0.9899997332462321,1.0000000000000002,-3.4289498071919033,699.0,37.0,0.4662994130478489,0.898032236276303,1.5159979392320445e-16,0.42911113922825006
