"","FileCondi","Subnum","Old","Stimkind","RT","Error"
"196","MIX",23,"Old","CM",652,0.0952380952380952
"197","MIX",24,"New","AN",893,0.0238095238095238
"198","MIX",24,"New","CM",948,0.0196078431372549
"199","MIX",24,"Old","AN",1116,0.102040816326531
"200","MIX",24,"Old","CM",964.5,0.0612244897959183
"201","MIX",25,"New","AN",649,0
"202","MIX",25,"New","CM",768,0.0217391304347826
"203","MIX",25,"Old","AN",732.5,0.0714285714285714
"204","MIX",25,"Old","CM",741,0.113207547169811
"205","MIX",26,"New","AN",746.5,0.0181818181818182
"206","MIX",26,"New","CM",825,0.291666666666667
"207","MIX",26,"Old","AN",730,0.0363636363636364
"208","MIX",26,"Old","CM",775.5,0
"209","MIX",28,"New","AN",767,0
"210","MIX",28,"New","CM",850,0.0384615384615384
"211","MIX",28,"Old","AN",788,0
"212","MIX",28,"Old","CM",782,0
"213","MIX",29,"New","AN",540,0.0535714285714286
"214","MIX",29,"New","CM",659.5,0.317073170731707
"215","MIX",29,"Old","AN",557,0.0612244897959183
"216","MIX",29,"Old","CM",519,0.0227272727272727
"217","MIX",31,"New","AN",706,0
"218","MIX",31,"New","CM",907,0.0888888888888889
"219","MIX",31,"Old","AN",788,0.0217391304347826
"220","MIX",31,"Old","CM",742,0.0384615384615384
"221","MIX",33,"New","AN",961,0.0681818181818182
"222","MIX",33,"New","CM",1262,0.2
"223","MIX",33,"Old","AN",1025,0.134615384615385
"224","MIX",33,"Old","CM",1011,0.218181818181818
"225","MIX",34,"New","AN",617,0
"226","MIX",34,"New","CM",806,0.1
"227","MIX",34,"Old","AN",542,0.05
"228","MIX",34,"Old","CM",612,0.0344827586206896
"229","MIX",35,"New","AN",543,0
"230","MIX",35,"New","CM",623,0.0816326530612245
"231","MIX",35,"Old","AN",572,0.0172413793103449
"232","MIX",35,"Old","CM",549.5,0.032258064516129
"233","MIX",36,"New","AN",750,0.0181818181818182
"234","MIX",36,"New","CM",756,0.0909090909090909
"235","MIX",36,"Old","AN",835,0.0952380952380952
"236","MIX",36,"Old","CM",808.5,0.0196078431372549
"237","MIX2",1,"New","AN",867,0
"238","MIX2",1,"New","CM",972.5,0.08
"239","MIX2",1,"Old","AN",899.5,0.0212765957446809
"240","MIX2",1,"Old","CM",944,0.17948717948718
"241","MIX2",2,"New","AN",710,0
"242","MIX2",2,"New","CM",833,0.333333333333333
"243","MIX2",2,"Old","AN",749.5,0.2
"244","MIX2",2,"Old","CM",680.5,0.0232558139534884
"245","MIX2",3,"New","AN",717,0
"246","MIX2",3,"New","CM",789,0.0175438596491229
"247","MIX2",3,"Old","AN",893,0.0408163265306123
"248","MIX2",3,"Old","CM",1126,0.146341463414634
"249","MIX2",4,"New","AN",642.5,0.0204081632653061
"250","MIX2",4,"New","CM",724.5,0.155555555555556
"251","MIX2",4,"Old","AN",726,0.12
"252","MIX2",4,"Old","CM",781,0.3125
"253","MIX2",5,"New","AN",1167,0.05
"254","MIX2",5,"New","CM",1268,0.219512195121951
"255","MIX2",5,"Old","AN",1200,0.0416666666666666
"256","MIX2",5,"Old","CM",1165,0.142857142857143
"257","MIX2",6,"New","AN",936,0.025
"258","MIX2",6,"New","CM",861,0.0196078431372549
"259","MIX2",6,"Old","AN",973.5,0.0370370370370371
"260","MIX2",6,"Old","CM",852,0.0212765957446809
"261","MIX2",7,"New","AN",1119,0.0204081632653061
"262","MIX2",7,"New","CM",1126.5,0.0909090909090909
"263","MIX2",7,"Old","AN",1069,0.0285714285714286
"264","MIX2",7,"Old","CM",1085,0.16
"265","MIX2",8,"New","AN",950,0.0444444444444444
"266","MIX2",8,"New","CM",912.5,0.115384615384615
"267","MIX2",8,"Old","AN",971,0.132075471698113
"268","MIX2",8,"Old","CM",895,0.119047619047619
"269","MIX2",10,"New","AN",576,0.0444444444444444
"270","MIX2",10,"New","CM",640,0.208333333333333
"271","MIX2",10,"Old","AN",567,0.0392156862745098
"272","MIX2",10,"Old","CM",568.5,0.0434782608695652
"273","MIX2",12,"New","AN",571.5,0
"274","MIX2",12,"New","CM",644,0.0563380281690141
"275","MIX2",12,"Old","AN",663,0.0571428571428572
"276","MIX2",12,"Old","CM",649,0.075
"277","MIX2",15,"New","AN",801,0.0222222222222223
"278","MIX2",15,"New","CM",956,0.0655737704918032
"279","MIX2",15,"Old","AN",836,0.125
"280","MIX2",15,"Old","CM",831.5,0.0526315789473685
"281","MIX2",16,"New","AN",993,0.0425531914893617
"282","MIX2",16,"New","CM",751,0.0363636363636364
"283","MIX2",16,"Old","AN",795,0.19047619047619
"284","MIX2",16,"Old","CM",749,0.0217391304347826
"285","MIX2",17,"New","AN",616,0
"286","MIX2",17,"New","CM",699,0.115384615384615
"287","MIX2",17,"Old","AN",731,0.0975609756097561
