"","FileCondi","Subnum","Old","Stimkind","RT","Error"
"165","MIX",9,"New","AN",761,0.0555555555555556
"166","MIX",9,"New","CM",815,0.117647058823529
"167","MIX",9,"Old","AN",830,0.195652173913043
"168","MIX",9,"Old","CM",760.5,0.152542372881356
"169","MIX",10,"New","AN",851,0.027027027027027
"170","MIX",10,"New","CM",916.5,0.0545454545454546
"171","MIX",10,"Old","AN",915,0.0222222222222223
"172","MIX",10,"Old","CM",938,0.145454545454546
"173","MIX",11,"New","AN",1491,0.270833333333333
"174","MIX",11,"New","CM",1107,0.0377358490566038
"175","MIX",11,"Old","AN",998,0.0476190476190477
"176","MIX",11,"Old","CM",1065.5,0
"177","MIX",12,"New","AN",1419,0
"178","MIX",12,"New","CM",1277,0.0370370370370371
"179","MIX",12,"Old","AN",975,0.0434782608695652
"180","MIX",12,"Old","CM",1123,0.0600000000000001
"181","MIX",13,"New","AN",687,0.0232558139534884
"182","MIX",13,"New","CM",821,0.0666666666666667
"183","MIX",13,"Old","AN",670.5,0.0370370370370371
"184","MIX",13,"Old","CM",676,0.08
"185","MIX",14,"New","AN",583,0.02
"186","MIX",14,"New","CM",748,0.0681818181818182
"187","MIX",14,"Old","AN",607,0
"188","MIX",14,"Old","CM",609,0.04
"189","MIX",15,"New","AN",805,0.0227272727272727
"190","MIX",15,"New","CM",954,0.137254901960784
"191","MIX",15,"Old","AN",934,0.0555555555555556
"192","MIX",15,"Old","CM",980,0.024390243902439
"193","MIX",16,"New","AN",590,0
"194","MIX",16,"New","CM",605,0.0444444444444444
"195","MIX",16,"Old","AN",635,0.0576923076923077
"196","MIX",16,"Old","CM",605.5,0.0222222222222223
"197","MIX",17,"New","AN",731,0
"198","MIX",17,"New","CM",827,0.0833333333333334
"199","MIX",17,"Old","AN",687,0.0666666666666667
"200","MIX",17,"Old","CM",726,0.0357142857142857
"201","MIX",18,"New","AN",628,0.0238095238095238
"202","MIX",18,"New","CM",695,0.188679245283019
"203","MIX",18,"Old","AN",608,0.0392156862745098
"204","MIX",18,"Old","CM",626,0.0434782608695652
"205","MIX",19,"New","AN",1246,0.181818181818182
"206","MIX",19,"New","CM",1354,0.317073170731707
"207","MIX",19,"Old","AN",1313.5,0.121951219512195
"208","MIX",19,"Old","CM",1337,0.159090909090909
"209","MIX",21,"New","AN",584,0.184210526315789
