"","Block","Trial","Condition","OldNew","Setsize","Serpos","Lag","Response","Correctness","RT","WhichProbe","prob1","prob2","prob3","prob4","prob5","prob6"
"133",6,8,2,2,6,0,0,2,1,675,6,3,7,2,10,1,8
"134",6,9,2,1,2,2,1,1,1,492,3,8,3,NA,NA,NA,NA
"135",6,10,3,2,4,0,0,2,1,822,10,9,2,7,3,NA,NA
"136",6,11,1,2,2,0,0,2,1,573,4,9,1,NA,NA,NA,NA
"137",6,12,2,1,2,2,1,1,1,531,2,8,2,NA,NA,NA,NA
"138",6,13,3,1,6,1,6,1,1,929,9,9,1,2,10,7,3
"139",6,14,2,1,6,5,2,1,1,1974,1,2,7,10,3,1,9
"140",6,15,3,2,2,0,0,2,1,716,10,2,7,NA,NA,NA,NA
"141",6,16,3,1,2,1,2,1,1,1326,10,10,3,NA,NA,NA,NA
"142",6,17,1,2,2,0,0,2,1,614,4,7,1,NA,NA,NA,NA
"143",6,18,3,2,6,0,0,2,1,751,8,7,1,3,9,10,2
"144",6,19,2,2,2,0,0,2,1,618,5,9,3,NA,NA,NA,NA
"145",6,20,1,2,4,0,0,2,1,594,4,10,3,1,8,NA,NA
"146",6,21,3,1,6,5,2,1,1,720,8,7,1,3,2,8,10
"147",6,22,2,2,4,0,0,2,1,574,6,2,3,8,9,NA,NA
"148",6,23,3,2,4,0,0,2,1,806,7,1,9,8,2,NA,NA
"149",6,24,3,2,2,0,0,2,1,1325,9,7,2,NA,NA,NA,NA
"150",6,25,2,1,2,2,1,1,1,576,1,10,1,NA,NA,NA,NA
"151",7,1,3,1,2,2,1,1,1,430,8,1,8,NA,NA,NA,NA
"152",7,2,1,2,2,0,0,2,1,585,4,3,10,NA,NA,NA,NA
"153",7,3,3,2,2,0,0,2,1,695,7,8,3,NA,NA,NA,NA
"154",7,4,2,2,2,0,0,2,1,578,5,3,8,NA,NA,NA,NA
"155",7,5,2,1,6,2,5,1,1,614,3,1,3,10,7,9,2
"156",7,6,2,1,2,1,2,1,1,530,2,2,9,NA,NA,NA,NA
"157",7,7,2,1,2,1,2,1,1,454,2,2,8,NA,NA,NA,NA
"158",7,8,1,2,6,0,0,2,1,596,4,7,9,2,8,1,3
"159",7,9,3,2,4,0,0,2,1,745,8,10,1,9,2,NA,NA
"160",7,10,1,2,6,0,0,2,1,603,4,2,3,10,1,7,9
"161",7,11,2,1,6,3,4,1,1,621,2,7,8,2,9,3,1
"162",7,12,3,2,4,0,0,2,1,830,8,1,10,2,9,NA,NA
"163",7,13,2,1,4,3,2,1,1,624,1,9,2,1,7,NA,NA
"164",7,14,1,2,6,0,0,2,1,595,4,7,1,3,9,10,2
"165",7,15,3,2,2,0,0,2,1,567,8,9,1,NA,NA,NA,NA
"166",7,16,2,1,2,2,1,1,1,478,1,10,1,NA,NA,NA,NA
"167",7,17,2,2,4,0,0,2,1,648,6,1,10,3,8,NA,NA
"168",7,18,2,1,4,3,2,1,1,733,2,9,10,2,3,NA,NA
"169",7,19,3,2,6,0,0,1,0,1462,10,1,8,9,7,3,2
"170",7,20,2,2,6,0,0,2,1,649,6,8,10,1,3,2,9
"171",7,21,2,1,4,3,2,1,1,583,3,8,2,3,7,NA,NA
"172",7,22,1,1,4,1,4,1,1,722,11,11,8,7,3,NA,NA
"173",7,23,3,2,2,0,0,2,1,1493,7,2,10,NA,NA,NA,NA
"174",7,24,2,1,4,1,4,1,1,1593,1,1,9,10,3,NA,NA
"175",7,25,3,2,4,0,0,2,1,1105,10,2,8,3,7,NA,NA
