"","Block","Trial","Condition","OldNew","Setsize","Serpos","Lag","Response","Correctness","RT","WhichProbe","prob1","prob2","prob3","prob4","prob5","prob6"
"111",5,11,4,2,4,0,0,2,1,0,4,9,2,7,10,NA,NA
"112",5,12,2,1,4,1,4,2,0,0,2,2,6,9,10,NA,NA
"113",5,13,4,2,6,0,0,2,1,0,4,7,2,8,10,6,5
"114",5,14,5,2,6,0,0,2,1,0,10,7,2,9,5,8,6
"115",5,15,4,2,2,0,0,2,1,0,4,2,7,NA,NA,NA,NA
"116",5,16,3,2,4,0,0,2,1,0,3,2,5,7,6,NA,NA
"117",5,17,4,2,2,0,0,2,1,0,4,2,9,NA,NA,NA,NA
"118",5,18,2,1,2,1,2,2,0,0,2,2,6,NA,NA,NA,NA
"119",5,19,2,1,6,1,6,2,0,0,2,2,8,7,9,5,6
"120",5,20,5,1,2,1,2,2,0,0,7,7,9,NA,NA,NA,NA
"121",5,21,5,1,2,2,1,2,0,0,8,5,8,NA,NA,NA,NA
"122",5,22,2,1,2,2,1,2,0,0,2,6,2,NA,NA,NA,NA
"123",5,23,2,1,2,1,2,2,0,0,2,2,6,NA,NA,NA,NA
"124",5,24,2,1,2,1,2,2,0,0,2,2,9,NA,NA,NA,NA
"125",5,25,2,1,4,2,3,2,0,0,2,5,2,10,8,NA,NA
"126",6,1,5,1,6,4,3,2,0,0,7,10,8,2,7,9,5
"127",6,2,5,2,6,0,0,2,1,0,6,9,7,8,10,2,5
"128",6,3,1,1,4,3,2,2,0,0,1,10,9,1,6,NA,NA
"129",6,4,3,2,6,0,0,2,1,0,3,2,10,9,5,8,7
"130",6,5,5,2,6,0,0,2,1,0,9,5,8,10,7,6,2
"131",6,6,4,2,6,0,0,2,1,0,4,6,5,10,9,7,2
"132",6,7,5,1,2,1,2,2,0,0,6,6,2,NA,NA,NA,NA
"133",6,8,5,2,6,0,0,2,1,0,10,8,9,5,2,7,6
"134",6,9,2,1,6,4,3,2,0,0,2,9,8,5,2,10,6
"135",6,10,2,1,2,2,1,2,0,0,2,5,2,NA,NA,NA,NA
"136",6,11,5,2,6,0,0,2,1,0,9,8,2,10,5,7,6
"137",6,12,5,2,2,0,0,2,1,0,5,6,9,NA,NA,NA,NA
"138",6,13,5,1,6,5,2,2,0,0,10,6,2,8,9,10,5
"139",6,14,5,1,2,1,2,2,0,0,9,9,10,NA,NA,NA,NA
"140",6,15,3,2,4,0,0,2,1,0,3,9,8,10,2,NA,NA
"141",6,16,1,1,2,1,2,2,0,0,1,1,9,NA,NA,NA,NA
"142",6,17,2,1,6,4,3,2,0,0,2,5,10,6,2,9,8
"143",6,18,1,1,6,2,5,2,0,0,1,8,1,6,7,10,9
"144",6,19,3,2,6,0,0,2,1,0,3,7,6,9,8,2,10
"145",6,20,3,2,4,0,0,2,1,0,3,10,2,9,5,NA,NA
"146",6,21,4,2,6,0,0,2,1,0,4,8,6,2,5,9,10
"147",6,22,2,1,6,4,3,2,0,0,2,9,6,8,2,10,7
"148",6,23,1,1,2,1,2,2,0,0,1,1,9,NA,NA,NA,NA
"149",6,24,5,1,6,6,1,2,0,0,5,1,7,8,10,6,5
"150",6,25,2,1,4,1,4,2,0,0,2,2,10,5,6,NA,NA
"151",7,1,3,2,6,0,0,2,1,0,3,6,10,8,5,9,1
"152",7,2,2,1,6,2,5,2,0,0,2,9,2,5,7,10,6
"153",7,3,2,1,6,1,6,2,0,0,2,2,10,7,9,6,8
"154",7,4,2,1,6,5,2,2,0,0,2,6,10,9,7,2,8
"155",7,5,5,2,2,0,0,2,1,0,9,8,7,NA,NA,NA,NA
"156",7,6,4,2,2,0,0,2,1,0,4,5,7,NA,NA,NA,NA
"157",7,7,1,1,6,6,1,2,0,0,1,6,9,10,5,8,1
"158",7,8,5,2,4,0,0,2,1,0,8,6,7,5,2,NA,NA
"159",7,9,4,2,6,0,0,2,1,0,4,9,8,10,5,2,6
"160",7,10,5,2,2,0,0,2,1,0,7,2,10,NA,NA,NA,NA
"161",7,11,1,1,2,1,2,2,0,0,1,1,10,NA,NA,NA,NA
"162",7,12,5,2,6,0,0,2,1,0,10,8,6,9,2,5,7
"163",7,13,2,1,4,1,4,2,0,0,2,2,6,10,7,NA,NA
"164",7,14,2,1,6,5,2,2,0,0,2,8,10,9,7,2,5
"165",7,15,5,1,6,3,4,2,0,0,6,9,10,6,8,1,5
"166",7,16,2,1,4,1,4,2,0,0,2,2,10,5,9,NA,NA
"167",7,17,2,1,2,2,1,2,0,0,2,7,2,NA,NA,NA,NA
"168",7,18,4,2,2,0,0,2,1,0,4,5,9,NA,NA,NA,NA
"169",7,19,2,1,6,4,3,2,0,0,2,8,6,5,2,9,7
"170",7,20,4,2,6,0,0,2,1,0,4,9,2,5,6,7,8
"171",7,21,4,2,6,0,0,2,1,0,4,8,5,2,7,9,6
"172",7,22,2,1,6,3,4,2,0,0,2,6,8,2,10,9,7
"173",7,23,2,1,6,6,1,2,0,0,2,7,10,8,6,5,2
"174",7,24,2,1,6,6,1,2,0,0,2,9,10,6,7,5,2
"175",7,25,4,2,4,0,0,2,1,0,4,2,10,5,6,NA,NA
